DrugName,Superscript,PublishLink,EditLink
Dissolvable Tobacco,"e,n,oo",https://docs.google.com/document/d/e/2PACX-1vRMc45juaJ0I1KvL1EB6ZOog1U7SLBekogAxLLaW40EMP2k3n6dzok9cQuUM5VIC0mOO5Y4lR1IQ3ab/pub?embedded=true,https://docs.google.com/document/d/1eUB2eCiTfNMDAH0bi9wvkijs6zzHFcmVh1JOm8FsHYM/edit?usp=sharing
Ecstasy (MDMA),g,https://docs.google.com/document/d/e/2PACX-1vSKRbTNCEZ2tC513ydXQXqX9UuM5VUMETCIJ42YqqBHzKd6tg1aqftGU9BS0wOjnsqiEorsX51lKb9V/pub?embedded=true,https://docs.google.com/document/d/1yOfJFWynrybK539jzycsHh2SAVA_A16rGRYfzzL7gRA/edit?usp=sharing
Energy Drinks,,https://docs.google.com/document/d/e/2PACX-1vR6TLqg-KJgtUF9jNqsA19alI2IkbZu8is_zhuQvsDE5d5O-4shxZIFK4-iXZ0LPv8HmKHrTmmoYjA-/pub?embedded=true,https://docs.google.com/document/d/166LQSi_W_DpNda9dgehZOQC6UAe8abt_l2OP1_aOllc/edit?usp=sharing
Energy Shots,,https://docs.google.com/document/d/e/2PACX-1vTls4rk11Ij0BR70D8kMNedwOyeIm4WFCLIgxOgG-7oMg2LoTbS9QZYKVYRlZsJYe-R3s1OXESFxmb3/pub?embedded=true,https://docs.google.com/document/d/1RH2oPozdTuKFp-b7GCxeUQKPmf2e6NcXquBewhRZD2c/edit?usp=sharing
Energy Drinks or Shots,,https://docs.google.com/document/d/e/2PACX-1vROcVaTQJ8fTCvLDqQt1FMtVADsXs8G5o7pb8p6alsdDQFn3OkChIYGtOLcJnH_PXplnBaWJbKJPK2v/pub?embedded=true,https://docs.google.com/document/d/16WLC9l8vDf_wSgJFEHJbkO3q8W8G7ADLSOZyHc7J4Uw/edit?usp=sharing
Flavored Alcoholic Beverages,"e,n,oo",https://docs.google.com/document/d/e/2PACX-1vQlxLnCWoF89CptkWi_EZHfgcIu7w4ha8DXwYJR2QtUZ1UJaKdFA4OsF1gaRDLF9_tYcGmi-MJThBVM/pub?embedded=true,https://docs.google.com/document/d/1ScTaY8HtI1LKeOrm8sFtbj1ZSPtXW23bRkVmAVfZOBw/edit?usp=sharing
Flavored Little Cigars,"ii,oo",https://docs.google.com/document/d/e/2PACX-1vRrRxS4EKG2oIOhvDtaZQsWryWxk20m2oVEQn9xk4FFX-Guybz0-Ol0fmS1PV9emi3LV0XlYlwvu2hJ/pub?embedded=true,https://docs.google.com/document/d/1bl1ttHR8k0k6DnW_hwCS2P_dhRVJyb7lnbwG_AT8n_8/edit?usp=sharing
GHB,"n,w,oo",https://docs.google.com/document/d/e/2PACX-1vRUPAmgsNY2ohZqzjQCaS2szncRqMDRsxYZZ-alRkuZsJMfyDc_CDtlaeBfzlr9lE8aVEe0sTaE1cwq/pub?embedded=true,https://docs.google.com/document/d/1lvioCXo9vgJb8qA_BN-_oULO-VcGi_sb263o5qy_frk/edit?usp=sharing
Hallucinogens,"b,f",https://docs.google.com/document/d/e/2PACX-1vQRr4krspQoOZeWjYCIaR1wvS2Tclai5_8cCtb77GCrh6WOYeCXihQVcQr1saL62vdRiLp44SxeVbtZ/pub?embedded=true,https://docs.google.com/document/d/1MGLRkjJrDH_zGM6Vh-KqKucbSR_fklOOwkWfKGEE1r8/edit?usp=sharing
Hallucinogens other than LSD,b,https://docs.google.com/document/d/e/2PACX-1vTeUsyh9OVXJDhXTOaisTbxOlbHuX9w7PRtGAL7JESlvoQXJh_WJh8fYeJ7VFkeKOXkZFdrsg1RzkAT/pub?embedded=true,https://docs.google.com/document/d/15nnAenvEfN7_TJt1oKz4h4up9pgY2IBUBNbGc7wqCdw/edit?usp=sharing
Heroin,"l,j",https://docs.google.com/document/d/e/2PACX-1vSz7cg4lWxt1aFc5923c976s6QPsyH0uo7EF1tJNqiKFW1OwZVrb_jhKMnOTipeaAUYzIhRsg0pUhq7/pub?embedded=true,https://docs.google.com/document/d/1BfxuiXLQFqLCmQwx0jmVB4IQ8UaQkjHGmHF3GEpfcNo/edit?usp=sharing
Heroin with a Needle,j,https://docs.google.com/document/d/e/2PACX-1vRPvFWJmnwN6Y6aelxwJhhUvNFWtqAMMHazQXFZMdmdA5SfuolGskGE80sY-cdeR7Shkw4C9uDrOrZD/pub?embedded=true,https://docs.google.com/document/d/1-Iogh2R3X3P9DLpDtwtQ7Cdfwt6dv7ZzYW-lvN4-1nI/edit?usp=sharing
Heroin without a Needle,j,https://docs.google.com/document/d/e/2PACX-1vTlWbFprMIMfeGwX46t-kvQj0pOva35NsYjmkDkC6aR4v9JZgZfiYBtR6jaMb_5k7Ai7x_5IiGp6hSW/pub?embedded=true,https://docs.google.com/document/d/1-eFPZ5WSO194JBSznZpZRWBFvcV-52gAZqEtRy8QqVo/edit?usp=sharing
Inhalants,"c,d",https://docs.google.com/document/d/e/2PACX-1vQeYRV0hzzdluR_Js4Pd65YDOy9YhK8PFtLZ9vBjftMcSrkZx5YMHP6_wzJ2RcxFWEmsIEewwGDetRx/pub?embedded=true,https://docs.google.com/document/d/1X6aasbAoI7PVQOU_Vp1fokaJMDzWHXRxNH9wwTFpnm4/edit?usp=sharing
